filename,species,source,rotation_deg,flipped_horizontal,method,confidence,reference_image,needs_review
Chaetodon_rafflesii_iNaturalist_473127064.jpg,Chaetodon rafflesii,inaturalist,0.0,no,template_uncertain,0.1392,Chaetodon_rafflesii_Bishop_497192485.jpg,yes
Chaetodon_rainfordi_FishPix_78816AF.jpg,Chaetodon rainfordi,fishpix,0.0,no,trusted_flagged,0.2513,Chaetodon_rainfordi_Bishop_-805104421.jpg,yes
Chaetodon_rainfordi_FishBase_Chrai_u4.jpg,Chaetodon rainfordi,fishbase,14.8,no,trusted_flagged,0.2162,Chaetodon_rainfordi_Bishop_-805104421.jpg,yes
Chaetodon_reticulatus_iNaturalist_30026960.jpg,Chaetodon reticulatus,inaturalist,3.9,no,template_uncertain,0.0784,Chaetodon_reticulatus_Bishop_-2063111040.jpg,yes
Chaetodon_reticulatus_iNaturalist_7064003.jpg,Chaetodon reticulatus,inaturalist,19.1,no,template_uncertain,0.0665,Chaetodon_reticulatus_Bishop_-2063111040.jpg,yes
Chaetodon_robustus_iNaturalist_257423579.jpg,Chaetodon robustus,inaturalist,-6.2,no,template_uncertain,0.0962,Chaetodon_robustus_FishBase_Chrob_u8.jpg,yes
Chaetodon_robustus_iNaturalist_399369257.jpg,Chaetodon robustus,inaturalist,0.0,no,template_uncertain,0.0814,Chaetodon_robustus_FishBase_Chrob_u8.jpg,yes
Chaetodon_robustus_iNaturalist_437534347.jpg,Chaetodon robustus,inaturalist,19.7,no,template_uncertain,0.0713,Chaetodon_robustus_FishBase_Chrob_u8.jpg,yes
Chaetodon_sanctaehelenae_FishBase_Chsan_u2.jpg,Chaetodon sanctaehelenae,fishbase,-14.7,no,trusted_flagged,0.5198,Chaetodon_sanctaehelenae_FishBase_Chsan_u0.jpg,yes
Chaetodon_sanctaehelenae_iNaturalist_484513376.jpg,Chaetodon sanctaehelenae,inaturalist,5.0,no,template_uncertain,0.0635,Chaetodon_sanctaehelenae_FishBase_Chsan_u0.jpg,yes
Chaetodon_sanctaehelenae_iNaturalist_578388957.jpg,Chaetodon sanctaehelenae,inaturalist,0.0,no,template_uncertain,0.0964,Chaetodon_sanctaehelenae_FishBase_Chsan_u0.jpg,yes
Chaetodon_sedentarius_iNaturalist_149996653.jpg,Chaetodon sedentarius,inaturalist,-3.8,no,template_uncertain,0.0925,Chaetodon_sedentarius_FishBase_Chsed_u2.jpg,yes
Chaetodon_sedentarius_iNaturalist_264761.jpg,Chaetodon sedentarius,inaturalist,0.0,no,template_uncertain,0.085,Chaetodon_sedentarius_FishBase_Chsed_u2.jpg,yes
Chaetodon_sedentarius_iNaturalist_32020377.jpg,Chaetodon sedentarius,inaturalist,6.8,no,template_uncertain,0.1317,Chaetodon_sedentarius_FishBase_Chsed_u2.jpg,yes
Chaetodon_selene_FishBase_Chsel_u1.jpg,Chaetodon selene,fishbase,19.8,no,trusted_flagged,0.2173,Chaetodon_selene_Bishop_-1379331455.jpg,yes
Chaetodon_selene_iNaturalist_600955409.jpg,Chaetodon selene,inaturalist,17.6,no,template_uncertain,0.1263,Chaetodon_selene_Bishop_-1379331455.jpg,yes
Chaetodon_semeion_iNaturalist_187549895.jpg,Chaetodon semeion,inaturalist,0.0,no,template_uncertain,0.0969,Chaetodon_semeion_Bishop_238560942.jpg,yes
Chaetodon_semeion_iNaturalist_599835888.jpg,Chaetodon semeion,inaturalist,0.0,no,template_uncertain,0.0801,Chaetodon_semeion_Bishop_238560942.jpg,yes
Chaetodon_semilarvatus_FishBase_Chsem_uc.jpg,Chaetodon semilarvatus,fishbase,-5.3,no,trusted_flagged,0.3426,Chaetodon_semilarvatus_Bishop_-947886964.jpg,yes
Chaetodon_speculum_iNaturalist_175106878.jpg,Chaetodon speculum,inaturalist,7.3,no,template_uncertain,0.0727,Chaetodon_speculum_Bishop_65885528.jpg,yes
Chaetodon_speculum_iNaturalist_33179568.jpg,Chaetodon speculum,inaturalist,-12.6,no,template_uncertain,0.0773,Chaetodon_speculum_Bishop_65885528.jpg,yes
Chaetodon_striatus_FishBase_Chstr_u0.jpg,Chaetodon striatus,fishbase,14.5,no,trusted_flagged,0.2547,Chaetodon_striatus_FishBase_Chstr_ui.jpg,yes
Chaetodon_striatus_iNaturalist_516231487.jpg,Chaetodon striatus,inaturalist,0.0,no,template_uncertain,0.1228,Chaetodon_striatus_FishBase_Chstr_ui.jpg,yes
Chaetodon_tinkeri_iNaturalist_122833614.jpg,Chaetodon tinkeri,inaturalist,-4.0,no,template_uncertain,0.123,Chaetodon_tinkeri_Bishop_-1989865351.jpg,yes
Chaetodon_trichrous_iNaturalist_472558208.jpg,Chaetodon trichrous,inaturalist,0.0,no,template_uncertain,0.1202,Chaetodon_trichrous_Bishop_-192591132.jpg,yes
Chaetodon_tricinctus_iNaturalist_335443101.jpg,Chaetodon tricinctus,inaturalist,6.1,no,template_uncertain,0.0561,Chaetodon_tricinctus_Bishop_28770837.jpg,yes
