species,fishbase_file,bishop_file,is_duplicate,reviewed_at,notes
Chaetodon madagaskariensis,Chaetodon_madagaskariensis_FishBase_Chmad_u1.jpg,Chaetodon_madagaskariensis_Bishop_1210446292.jpg,yes,2026-02-05T12:24:02.168836,
Chaetodon marleyi,Chaetodon_marleyi_FishBase_Chmar_ua.jpg,Chaetodon_marleyi_Bishop_384825925.jpg,yes,2026-02-05T12:24:02.914232,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u4.jpg,Chaetodon_melannotus_Bishop_403079329.jpg,yes,2026-02-05T12:22:57.916242,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u6.jpg,Chaetodon_melannotus_Bishop_-1689715678.jpg,yes,2026-02-05T12:22:58.864258,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u8.jpg,Chaetodon_melannotus_Bishop_-1381464288.jpg,yes,2026-02-05T12:24:59.352443,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u7.jpg,Chaetodon_melannotus_Bishop_-1126507013.jpg,yes,2026-02-05T12:26:26.456900,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u7.jpg,Chaetodon_melannotus_Bishop_-1689715678.jpg,no,2026-02-05T12:28:34.487433,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u7.jpg,Chaetodon_melannotus_Bishop_-1381464288.jpg,no,2026-02-05T12:33:11.603791,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u6.jpg,Chaetodon_melannotus_Bishop_-1126507013.jpg,no,2026-02-05T12:34:28.932937,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u4.jpg,Chaetodon_melannotus_Bishop_-1126507013.jpg,no,2026-02-05T12:37:06.102625,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u8.jpg,Chaetodon_melannotus_Bishop_-1126507013.jpg,no,2026-02-05T12:37:08.557027,
Chaetodon melannotus,Chaetodon_melannotus_FishBase_Chmel_u6.jpg,Chaetodon_melannotus_Bishop_-1381464288.jpg,no,2026-02-05T12:37:38.248143,
Chaetodon melapterus,Chaetodon_melapterus_FishBase_Chmel_u9.jpg,Chaetodon_melapterus_Bishop_690928567.jpg,yes,2026-02-05T12:24:03.693341,
Chaetodon melapterus,Chaetodon_melapterus_FishBase_Chmel_ua.jpg,Chaetodon_melapterus_Bishop_-738901426.jpg,yes,2026-02-05T12:24:04.460583,
Chaetodon melapterus,Chaetodon_melapterus_FishBase_Chmel_u2.jpg,Chaetodon_melapterus_Bishop_-738901426.jpg,no,2026-02-05T12:30:40.030742,
